country,carrier,min,max
DE,onwind,54437,200000
DE,offwind-ac,3874,
DE,offwind-dc,3874,
DE,solar,53781,250000
LU,onwind,120,10000
LU,solar,128,10000
NL,onwind,4100,20000
NL,offwind-ac,1250,20000
NL,offwind-dc,1250,20000
NL,solar,10213,
GB,onwind,14282,150000
GB,offwind-ac,5192,75000
GB,offwind-dc,5192,75000
GB,solar,13563,
IE,onwind,3054.8,50000
IE,offwind-ac,13,
IE,offwind-dc,13,
IE,onwind,,30000
IE,solar,0,
FR,onwind,17380,180000
FR,offwind-ac,0,90000
FR,offwind-dc,2,90000
FR,solar,11724,200000
DK,onwind,4534,20000
DK,offwind-ac,850,15000
DK,offwind-dc,850,15000
DK,solar,1300,
BE,onwind,2068,
BE,offwind-ac,1127,
BE,offwind-dc,1127,
BE,solar,5646,
IT,onwind,10839,100000
IT,offwind-ac,0,
IT,offwind-dc,0,
IT,solar,21594,400000
ES,onwind,27084,
ES,offwind-ac,0,
ES,offwind-dc,0,
ES,solar,11785,300000
SE,solar,1417,
SE,offwind-ac,102,
SE,offwind-dc,102,
SE,onwind,9485,
FI,offwind-dc,73,
NO,onwind,3975,
PL,onwind,6267,20000
PT,onwind,5214,
PT,solar,1025,
EE,onwind,,10000
RO,solar,,25000
LV,onwind,,10000
